permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month
14593,AAPL,APPLE INC,2018-01-31,-0.010636,167.42999,6597524.0,5074013.0,4.0,Technology,849541.94584987,2018,1,2018-01
14593,AAPL,APPLE COMPUTER INC,2018-02-28,0.06761,178.12,9326122.0,5074013.0,4.0,Technology,903783.19556,2018,2,2018-02
14593,AAPL,APPLE INC,2018-03-29,-0.058051,167.78,7156363.0,4943282.0,4.0,Technology,829383.8539600001,2018,3,2018-03
14593,AAPL,APPLE COMPUTER INC,2018-04-30,-0.01502,165.25999,6662564.0,4915138.0,4.0,Technology,812275.65672862,2018,4,2018-04
14593,AAPL,APPLE COMPUTER INC,2018-05-31,0.135181,186.87,6211796.0,4915138.0,4.0,Technology,918491.8380600001,2018,5,2018-05
14593,AAPL,APPLE INC,2018-06-29,-0.009418,185.11,5276132.0,4842917.0,4.0,Technology,896472.3658700001,2018,6,2018-06
14593,AAPL,APPLE COMPUTER INC,2018-07-31,0.027983,190.28999,3925671.0,4829926.0,4.0,Technology,919086.57024074,2018,7,2018-07
14593,AAPL,APPLE INC,2018-08-31,0.200063,227.63,7006518.0,4829926.0,4.0,Technology,1099436.0553799998,2018,8,2018-08
14593,AAPL,APPLE INC,2018-09-28,-0.008303,225.74001,6790750.0,4754986.0,4.0,Technology,1073390.5871898602,2018,9,2018-09
14593,AAPL,APPLE INC,2018-10-31,-0.030478,218.86,7901731.0,4745398.0,4.0,Technology,1038577.8062800001,2018,10,2018-10
14593,AAPL,APPLE INC,2018-11-30,-0.180709,178.58,9614243.0,4745398.0,4.0,Technology,847433.17484,2018,11,2018-11
14593,AAPL,APPLE INC,2018-12-31,-0.116698,157.74001,8989251.0,4729803.0,4.0,Technology,746079.17251803,2018,12,2018-12
14593,AAPL,APPLE INC,2019-01-31,0.055154,166.44,8286384.0,4715280.0,4.0,Technology,784811.2032000001,2019,1,2019-01
14593,AAPL,APPLE INC,2019-02-28,0.044701,173.14999,4728399.0,4715280.0,4.0,Technology,816450.6848472,2019,2,2019-02
14593,AAPL,APPLE INC,2019-03-29,0.097026,189.95,6509946.0,4715280.0,4.0,Technology,895667.436,2019,3,2019-03
14593,AAPL,APPLE COMPUTER INC,2019-04-30,0.056436,200.67,5069258.0,4601075.0,4.0,Technology,923297.72025,2019,4,2019-04
14593,AAPL,APPLE INC,2019-05-31,-0.123735,175.07001,7394492.0,4601075.0,4.0,Technology,805510.24626075,2019,5,2019-05
14593,AAPL,APPLE COMPUTER INC,2019-06-28,0.130519,197.92,5161482.0,4531395.0,4.0,Technology,896853.6984,2019,6,2019-06
14593,AAPL,APPLE INC,2019-07-31,0.076395,213.03999,4736504.0,4519180.0,4.0,Technology,962766.0620082,2019,7,2019-07
14593,AAPL,APPLE COMPUTER INC,2019-08-30,-0.01657,208.74001,6836722.0,4519180.0,4.0,Technology,943333.6783918,2019,8,2019-08
14593,AAPL,APPLE COMPUTER INC,2019-09-30,0.072962,223.97,5472803.0,4443236.0,4.0,Technology,995151.56692,2019,9,2019-09
14593,AAPL,APPLE COMPUTER INC,2019-10-31,0.110684,248.75999,6227831.0,4443265.0,4.0,Technology,1105306.55696735,2019,10,2019-10
14593,AAPL,APPLE COMPUTER INC,2019-11-29,0.077424,267.25,4495545.0,4443265.0,4.0,Technology,1187462.57125,2019,11,2019-11
14593,AAPL,APPLE INC,2019-12-31,0.098784,293.64999,5984993.0,4384959.0,4.0,Technology,1287643.16650041,2019,12,2019-12
14593,AAPL,APPLE COMPUTER INC,2020-01-31,0.05401,309.51001,7346625.0,4375480.0,4.0,Technology,1354254.8585548,2020,1,2020-01
14593,AAPL,APPLE COMPUTER INC,2020-02-28,-0.11431,273.35999,7538341.0,4375480.0,4.0,Technology,1196081.1690451999,2020,2,2020-02
14593,AAPL,APPLE COMPUTER INC,2020-03-31,-0.069762,254.28999,15678412.0,4323987.0,4.0,Technology,1099546.6109901299,2020,3,2020-03
14593,AAPL,APPLE INC,2020-04-30,0.155374,293.79999,8151167.0,4334335.0,4.0,Technology,1273427.5796566498,2020,4,2020-04
14593,AAPL,APPLE COMPUTER INC,2020-05-29,0.084956,317.94,7011777.0,4334335.0,4.0,Technology,1378058.4699000001,2020,5,2020-05
14593,AAPL,APPLE COMPUTER INC,2020-06-30,0.147386,364.79999,8095231.0,4283939.0,4.0,Technology,1562780.90436061,2020,6,2020-06
14593,AAPL,APPLE COMPUTER INC,2020-07-31,0.165132,425.04001,7543023.0,4275634.0,4.0,Technology,1817315.5181163398,2020,7,2020-07
14593,AAPL,APPLE INC,2020-08-31,0.216309,129.03999,11844232.0,17102536.0,1.0,Technology,2206911.0744146397,2020,8,2020-08
14593,AAPL,APPLE INC,2020-09-30,-0.102526,115.81,38816274.0,16976763.0,1.0,Technology,1966078.92303,2020,9,2020-09
14593,AAPL,APPLE INC,2020-10-30,-0.060012,108.86,28938282.0,17001802.0,1.0,Technology,1850816.16572,2020,10,2020-10
14593,AAPL,APPLE INC,2020-11-30,0.09549,119.05,21197000.0,17001802.0,1.0,Technology,2024064.5281,2020,11,2020-11
14593,AAPL,APPLE INC,2020-12-31,0.114574,132.69,23205317.0,16823263.0,1.0,Technology,2232278.76747,2020,12,2020-12
14593,AAPL,APPLE INC,2021-01-29,-0.005502,131.96001,22434811.0,16788096.0,1.0,Technology,2215357.31604096,2021,1,2021-01
14593,AAPL,APPLE COMPUTER INC,2021-02-26,-0.079532,121.26,18332944.0,16788096.0,1.0,Technology,2035724.52096,2021,2,2021-02
14593,AAPL,APPLE INC,2021-03-31,0.00734,122.15,26489849.0,16686305.0,1.0,Technology,2038232.15575,2021,3,2021-03
14593,AAPL,APPLE COMPUTER INC,2021-04-30,0.076218,131.46001,18888744.0,16687631.0,1.0,Technology,2193756.13813631,2021,4,2021-04
14593,AAPL,APPLE INC,2021-05-28,-0.050434,124.61,17116318.0,16687631.0,1.0,Technology,2079445.69891,2021,5,2021-05
14593,AAPL,APPLE COMPUTER INC,2021-06-30,0.099109,136.96001,16058898.0,16556942.0,1.0,Technology,2267638.94188942,2021,6,2021-06
14593,AAPL,APPLE INC,2021-07-30,0.064982,145.86,19182583.0,16530166.0,1.0,Technology,2411090.0127600003,2021,7,2021-07
14593,AAPL,APPLE COMPUTER INC,2021-08-31,0.042438,151.83,14615956.0,16530166.0,1.0,Technology,2509775.10378,2021,8,2021-08
14593,AAPL,APPLE INC,2021-09-30,-0.068037,141.5,17967120.0,16426786.0,1.0,Technology,2324390.219,2021,9,2021-09
14593,AAPL,APPLE INC,2021-10-29,0.058657,149.8,15637134.0,16406397.0,1.0,Technology,2457678.2706000004,2021,10,2021-10
14593,AAPL,APPLE INC,2021-11-30,0.10494,165.3,16900358.0,16406397.0,1.0,Technology,2711977.4241000004,2021,11,2021-11
14593,AAPL,APPLE COMPUTER INC,2021-12-31,0.074229,177.57001,24442196.0,16344923.0,1.0,Technology,2902368.14055923,2021,12,2021-12
14593,AAPL,APPLE INC,2022-01-31,-0.015712,174.78,21083470.0,16319441.0,1.0,Technology,2852311.89798,2022,1,2022-01
14593,AAPL,APPLE INC,2022-02-28,-0.054011,165.12,16150782.0,16319441.0,1.0,Technology,2694666.09792,2022,2,2022-02
14593,AAPL,APPLE COMPUTER INC,2022-03-31,0.057473,174.61,21788892.0,16207568.0,1.0,Technology,2830003.44848,2022,3,2022-03
14593,AAPL,APPLE INC,2022-04-29,-0.097131,157.64999,16861153.0,16185181.0,1.0,Technology,2551593.62279819,2022,4,2022-04
14593,AAPL,APPLE COMPUTER INC,2022-05-31,-0.054424,148.84,24000066.0,16185181.0,1.0,Technology,2409002.34004,2022,5,2022-05
14593,AAPL,APPLE COMPUTER INC,2022-06-30,-0.08143,136.72,17649177.0,16095378.0,1.0,Technology,2200560.08016,2022,6,2022-06
14593,AAPL,APPLE INC,2022-07-29,0.188634,162.50999,14469716.0,16070752.0,1.0,Technology,2611657.74681248,2022,7,2022-07
14593,AAPL,APPLE INC,2022-08-31,-0.031137,157.22,15086319.0,16070752.0,1.0,Technology,2526643.6294400003,2022,8,2022-08
14593,AAPL,APPLE COMPUTER INC,2022-09-30,-0.120977,138.2,20853206.0,15943425.0,1.0,Technology,2203381.335,2022,9,2022-09
14593,AAPL,APPLE COMPUTER INC,2022-10-31,0.109551,153.34,18666227.0,15908118.0,1.0,Technology,2439350.8141199998,2022,10,2022-10
14593,AAPL,APPLE COMPUTER INC,2022-11-30,-0.033129,148.03,17240790.0,15908118.0,1.0,Technology,2354878.70754,2022,11,2022-11
14593,AAPL,APPLE COMPUTER INC,2022-12-30,-0.122273,129.92999,16746278.0,15842407.0,1.0,Technology,2058403.7830859302,2022,12,2022-12
14593,AAPL,APPLE INC,2023-01-31,0.110521,144.28999,14423279.0,15821946.0,1.0,Technology,2282948.43012054,2023,1,2023-01
14593,AAPL,APPLE COMPUTER INC,2023-02-28,0.023217,147.41,13119369.0,15821946.0,1.0,Technology,2332313.05986,2023,2,2023-02
14593,AAPL,APPLE INC,2023-03-31,0.118649,164.89999,15192862.0,15723406.0,1.0,Technology,2592789.49216594,2023,3,2023-03
14593,AAPL,APPLE INC,2023-04-28,0.028987,169.67999,9696102.0,15728702.0,1.0,Technology,2668845.99807298,2023,4,2023-04
14593,AAPL,APPLE COMPUTER INC,2023-05-31,0.046028,177.25,12739453.0,15728702.0,1.0,Technology,2787912.4295,2023,5,2023-05
14593,AAPL,APPLE INC,2023-06-30,0.09433,193.97,12970839.0,15647868.0,1.0,Technology,3035216.95596,2023,6,2023-06
14593,AAPL,APPLE COMPUTER INC,2023-07-31,0.012786,196.45,9955553.0,15634232.0,1.0,Technology,3071344.8763999995,2023,7,2023-07
14593,AAPL,APPLE INC,2023-08-31,-0.042454,187.87,13209699.0,15634232.0,1.0,Technology,2937203.1658400004,2023,8,2023-08
14593,AAPL,APPLE INC,2023-09-29,-0.088678,171.21001,13366036.0,15550061.0,1.0,Technology,2662326.0993106104,2023,9,2023-09
14593,AAPL,APPLE COMPUTER INC,2023-10-31,-0.00257,170.77,11728396.0,15552752.0,1.0,Technology,2655943.45904,2023,10,2023-10
14593,AAPL,APPLE INC,2023-11-30,0.11372,189.95,10906725.0,15552752.0,1.0,Technology,2954245.2423999994,2023,11,2023-11
14593,AAPL,APPLE COMPUTER INC,2023-12-29,0.013583,192.53,10520988.0,15460223.0,1.0,Technology,2976556.73419,2023,12,2023-12
14593,AAPL,APPLE INC,2024-01-31,-0.042227,184.39999,11805597.0,15441881.0,1.0,Technology,2847482.70198119,2024,1,2024-01
14593,AAPL,APPLE INC,2024-02-29,-0.018492,180.75,11496409.0,15441881.0,1.0,Technology,2791119.99075,2024,2,2024-02
14593,AAPL,APPLE COMPUTER INC,2024-03-28,-0.051286,171.48,14095437.0,15337686.0,1.0,Technology,2630106.39528,2024,3,2024-03
14593,AAPL,APPLE COMPUTER INC,2024-04-30,-0.006706,170.33,12275943.0,15334082.0,1.0,Technology,2611854.1870600004,2024,4,2024-04
14593,AAPL,APPLE INC,2024-05-31,0.130159,192.25,13153483.0,15334082.0,1.0,Technology,2947977.2645,2024,5,2024-05
14593,AAPL,APPLE COMPUTER INC,2024-06-28,0.095553,210.62,16973587.0,15222259.0,1.0,Technology,3206112.1905799997,2024,6,2024-06
14593,AAPL,APPLE INC,2024-07-31,0.054411,222.08,11384300.0,15204137.0,1.0,Technology,3376534.74496,2024,7,2024-07
14593,AAPL,APPLE INC,2024-08-30,0.032286,229.0,11124182.0,15204137.0,1.0,Technology,3481747.373,2024,8,2024-08
14593,AAPL,APPLE COMPUTER INC,2024-09-30,0.017467,233.0,12198770.0,15116786.0,1.0,Technology,3522211.138,2024,9,2024-09
14593,AAPL,APPLE INC,2024-10-31,-0.030429,225.91,9219733.0,15115823.0,1.0,Technology,3414815.57393,2024,10,2024-10
14593,AAPL,APPLE COMPUTER INC,2024-11-29,0.051658,237.33,8852284.0,15115823.0,1.0,Technology,3587438.27259,2024,11,2024-11
14593,AAPL,APPLE INC,2024-12-31,0.055155,250.42,9710426.0,15115823.0,1.0,Technology,3785304.39566,2024,12,2024-12
47896,JPM,JPMORGAN CHASE & CO,2018-01-31,0.086871,115.67,3049400.0,3469726.0,1.0,Financials,401343.20642,2018,1,2018-01
47896,JPM,JPMORGAN CHASE & CO,2018-02-28,-0.00147,115.5,3546324.0,3431958.0,1.0,Financials,396391.149,2018,2,2018-02
47896,JPM,JPMORGAN CHASE & CO,2018-03-29,-0.047879,109.97,3215139.0,3410411.0,1.0,Financials,375042.89767000003,2018,3,2018-03
47896,JPM,J P MORGAN CHASE & CO,2018-04-30,-0.005729,108.78,3401527.0,3410420.0,1.0,Financials,370985.48760000005,2018,4,2018-04
47896,JPM,JPMORGAN CHASE & CO,2018-05-31,-0.016271,107.01,2736493.0,3404777.0,1.0,Financials,364345.18677000003,2018,5,2018-05
47896,JPM,JPMORGAN CHASE & CO,2018-06-29,-0.026259,104.2,3082319.0,3404777.0,1.0,Financials,354777.76340000005,2018,6,2018-06
47896,JPM,J P MORGAN CHASE & CO,2018-07-31,0.108541,114.95,2982814.0,3404777.0,1.0,Financials,391379.11615,2018,7,2018-07
47896,JPM,JPMORGAN CHASE & CO,2018-08-31,-0.003219,114.58,2344334.0,3360884.0,1.0,Financials,385090.08871999994,2018,8,2018-08
47896,JPM,J P MORGAN CHASE & CO,2018-09-28,-0.015186,112.84,2325491.0,3360884.0,1.0,Financials,379242.15056,2018,9,2018-09
47896,JPM,JPMORGAN CHASE & CO,2018-10-31,-0.026764,109.02,4330428.0,3360884.0,1.0,Financials,366403.57368000003,2018,10,2018-10
47896,JPM,JPMORGAN CHASE & CO,2018-11-30,0.019905,111.19,2832278.0,3325411.0,1.0,Financials,369752.44908999995,2018,11,2018-11
47896,JPM,JPMORGAN CHASE & CO,2018-12-31,-0.122043,97.62,4252157.0,3325411.0,1.0,Financials,324626.62182,2018,12,2018-12
47896,JPM,JPMORGAN CHASE & CO,2019-01-31,0.068429,103.5,3259340.0,3325411.0,1.0,Financials,344180.0385,2019,1,2019-01
47896,JPM,JPMORGAN CHASE & CO,2019-02-28,0.008309,104.36,2249348.0,3274242.0,1.0,Financials,341699.89512,2019,2,2019-02
47896,JPM,JPMORGAN CHASE & CO,2019-03-29,-0.029992,101.23,3065997.0,3274242.0,1.0,Financials,331451.51766,2019,3,2019-03
47896,JPM,J P MORGAN CHASE & CO,2019-04-30,0.154302,116.05,2525169.0,3247865.0,1.0,Financials,376914.73325,2019,4,2019-04
47896,JPM,J P MORGAN CHASE & CO,2019-05-31,-0.086945,105.96,2307132.0,3243973.0,1.0,Financials,343731.37908,2019,5,2019-05
